Dato,Spiller,Navn på kølle,Merke/modell,Type golfkølle,Køllehast.,Angrepsvinkel,Køllebane,Oversiden av køllen,Kølleflate i forhold til bane,Ballhastighet,Slagfaktor,Slagvinkel,Slagretning,Underskru,Sideskru,Skruhastighet,Spinnhastighetstype,Skruakse,Toppunktshøyde,Carry-distanse,Vinkel på feilmarginen på distansen,Avstand på feilmargin på distansen,Total avstand,Total avviksvinkel,Total avviksavstand,Notat,Merke,Lufttetthet,Temperatur,Lufttrykk,Relativ luftfuktighet,Baksvingtid,Nedsvingtid,Svingtempo
,,,,,[km/t],[deg],[deg],[deg],[deg],[km/t],,[deg],[deg],[opm],[opm],[opm],,[deg],[m],[m],[deg],[m],[m],[deg],[m],,,[g/L],[deg C],[kPa],[%],[sek],[sek],
25.08.2025 18:08:49,Øystein,,,9 Jern,106.59591472326821,-5.04,-0.38,10.36,10.74,113.00390739960845,1.0601148054592515,28.0,8.460000038146973,6518.21240234375,-1821.1436767578125,6767.83984375,Målt,15.609999656677246,14.369999885559082,72.73999786376953,14.170000076293945,17.809999465942383,78.30999755859375,14.430000305175781,19.520000457763672,,,1.1784348,22.0,100.34,50,,,0.0
25.08.2025 18:08:59,Øystein,,,9 Jern,113.83190893447285,-6.78,-0.09,4.56,4.6499999999999995,127.0439016607771,1.116065810105229,24.600000381469727,3.7300000190734863,7455.8173828125,-2259.56591796875,7790.68994140625,Målt,16.860000610351562,16.040000915527344,84.87999725341797,10.40999984741211,15.34000015258789,89.83000183105469,10.699999809265137,16.68000030517578,,,1.1784348,22.0,100.34,50,,,0.0
25.08.2025 18:09:10,Øystein,,,9 Jern,110.12391190087047,-5.46,1.44,5.51,4.07,124.30789615915181,1.1288002216180737,24.440000534057617,4.699999809265137,7326.26904296875,-1781.88818359375,7539.85009765625,Målt,13.670000076293945,15.220000267028809,82.73999786376953,10.079999923706055,14.489999771118164,88.08999633789062,10.319999694824219,15.779999732971191,,,1.1784348,22.0,100.34,50,,,0.0
25.08.2025 18:09:20,Øystein,,,9 Jern,109.5479123616701,-5.3,0.92,2.14,1.2200000000000002,126.68389370903736,1.1564245358760756,21.600000381469727,1.8700000047683716,6896.2421875,-888.3228759765625,6953.22021484375,Målt,7.340000152587891,13.699999809265137,85.41999816894531,4.619999885559082,6.869999885559082,92.58000183105469,4.78000020980835,7.71999979019165,,,1.1784348,22.0,100.34,50,,,0.0
25.08.2025 18:09:32,Øystein,,,9 Jern,109.11591270726981,-3.99,1.61,8.61,6.999999999999999,120.05989845891716,1.1002968813632825,28.40999984741211,7.28000020980835,6530.69873046875,-1360.765625,6670.9599609375,Målt,11.770000457763672,16.90999984741211,79.97000122070312,12.09000015258789,16.75,85.20999908447266,12.260000228881836,18.09000015258789,,,1.1784348,22.0,100.34,50,,,0.0
25.08.2025 18:09:43,Øystein,,,9 Jern,99.53992036806369,-0.36,0.59,3.7,3.1100000000000003,118.04390886077134,1.1858951506519835,27.90999984741211,3.119999885559082,4093.57861328125,183.74053955078125,4097.7001953125,Målt,-2.569999933242798,15.539999961853027,81.6500015258789,2.5899999141693115,3.690000057220459,91.33999633789062,2.490000009536743,3.9600000381469727,,,1.1784348,22.0,100.34,50,,,0.0
25.08.2025 18:09:53,Øystein,,,9 Jern,117.3239061408751,-3.07,6.35,4.71,-1.6399999999999997,131.7958967605482,1.1233507398082712,22.31999969482422,4.659999847412109,6181.751953125,-898.5147705078125,6246.7099609375,Målt,8.270000457763672,15.470000267028809,91.81999969482422,8.039999961853027,12.850000381469727,99.36000061035156,8.210000038146973,14.1899995803833,,,1.1784348,22.0,100.34,50,,,0.0
25.08.2025 18:10:37,Øystein,,,6 Jern,0.0,0.0,0.0,10.38,10.38,141.73188276927894,,20.709999084472656,8.529999732971191,4855.80908203125,5003.8115234375,6972.58984375,Målt,-45.86000061035156,13.729999542236328,92.37999725341797,-6.800000190734863,-10.930000305175781,100.47000122070312,-8.149999618530273,-14.239999771118164,,,1.1784348,22.0,100.34,50,,,0.0
25.08.2025 18:10:49,Øystein,,,6 Jern,0.0,0.0,0.0,10.13,10.13,125.171901510428,,21.1299991607666,8.319999694824219,1969.2584228515625,52.94261169433594,1969.969970703125,Målt,-1.5399999618530273,10.649999618530273,87.12999725341797,8.270000457763672,12.529999732971191,104.18000030517578,8.170000076293945,14.8100004196167,,,1.1784348,22.0,100.34,50,,,0.0
25.08.2025 18:11:01,Øystein,,,6 Jern,0.0,0.0,0.0,11.03,11.03,135.7198941706667,,22.219999313354492,9.0600004196167,4106.484375,-1576.33154296875,4398.64013671875,Målt,21.0,15.020000457763672,97.12000274658203,16.399999618530273,27.43000030517578,108.51000213623047,17.020000457763672,31.760000228881836,,,1.1784348,22.0,100.34,50,,,0.0
